Link,Area,Floor,Rooms,Bathroom,Roommates,Price
https://www.idealista.it/immobile/17575584/,Stanza in appartamento di 120 m²,2º piano con ascensore,7 locali,1 bagno,Capienza massima 4 persone,450
https://www.idealista.it/immobile/15143634/,Stanza in appartamento di 100 m²,1º piano con ascensore,6 locali,1 bagno,Capienza massima 4 persone,450
https://www.idealista.it/immobile/17611717/,Stanza in appartamento di 100 m²,2º piano con ascensore,7 locali,1 bagno,Capienza massima 4 persone,450
https://www.idealista.it/immobile/28612024/,Stanza in appartamento di 100 m²,,4 locali,2 bagni,Capienza massima 4 persone,490
https://www.idealista.it/immobile/29008684/,Stanza in appartamento di 16 m²,3º piano con ascensore,3 locali,1 bagno,Capienza massima 2 persone,400
https://www.idealista.it/immobile/27607184/,Stanza in appartamento di 85 m²,6º piano con ascensore,3 locali,1 bagno,Capienza massima 3 persone,470
https://www.idealista.it/immobile/28052188/,Stanza in appartamento di 120 m²,4º piano senza ascensore,5 locali,2 bagni,Capienza massima 5 persone,450
https://www.idealista.it/immobile/27746101/,Stanza in appartamento di 100 m²,4º piano con ascensore,3 locali,2 bagni,Capienza massima 3 persone,450
https://www.idealista.it/immobile/28035146/,Stanza in appartamento di 50 m²,6º piano con ascensore,3 locali,1 bagno,Capienza massima 3 persone,450
https://www.idealista.it/immobile/11831511/,Stanza in appartamento di 90 m²,Piano rialzato con ascensore,6 locali,1 bagno,Capienza massima 4 persone,350
https://www.idealista.it/immobile/27312806/,Stanza in appartamento di 90 m²,1º piano con ascensore,4 locali,1 bagno,Capienza massima 3 persone,420
https://www.idealista.it/immobile/12198393/,Stanza in appartamento di 120 m²,4º piano con ascensore,3 locali,1 bagno,Capienza massima 3 persone,450
